Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.instagram.com/greator/reel/CiiI0UMIjr1/,Framework,Greator,6.400.000,200.000,1.299,,,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7265345413144644897,Beliefbreaker Headline - Metapher - Wissen - Loop,Chris Surel,3.700.000,264.700,1.932,,89.700,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7303211486984424736,Relatable Topic - Erklärung (Wissenschaftlich) - Auflösung,Chris Surel,3.200.000,141.000,190,,28.300,
TRUE,https://www.instagram.com/greator/reel/Cgw97yOM_SC/,Hook - Story - Auflösung,Greator,2.700.000,86.000,585,,,
TRUE,https://www.instagram.com/greator/reel/Ci-RMhWovGH/,,Greator,2.700.000,44.400,336,,,
TRUE,https://www.instagram.com/greator/reel/DB89FgoBUx_/,,Greator,2.200.000,19.252,1.155,,,
TRUE,https://www.instagram.com/greator/reel/DB89FgoBUx_/,,Greator,2.200.000,19.500,1.155,,,
TRUE,https://www.instagram.com/greator/reel/CgPkkHQrhTU/,,Greator,2.000.000,28.300,189,,,
TRUE,https://www.instagram.com/greator/reel/CfraPUcJidT/,,Greator,1.900.000,33.300,343,,,
TRUE,https://youtube.com/shorts/UGlYMvI6N7k,,Robert Marc Lehmann,1.808.449,62.009,828,,,
TRUE,https://www.instagram.com/greator/reel/DBZCEo3P02g/,,Greator,1.800.000,30.600,879,,,
TRUE,https://www.instagram.com/greator/reel/DA0MN4xPLUi/,,Greator,1.700.000,29.300,183,,,
TRUE,https://www.instagram.com/greator/reel/Chm7Pk_DESB/,,Greator,1.700.000,30.100,345,,,
TRUE,https://youtube.com/shorts/hOotD79Y48Y,,Robert Marc Lehmann,1.650.743,100.713,3.268,,,
TRUE,https://www.facebook.com/reel/1206050496776924,,Greator,1.600.000,31.300,611,7.400,,
TRUE,https://www.instagram.com/meetyourmaster.de/reel/C639f5QOj26/,,Meet Your Master,1.600.000,47.100,146,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7263861096866385185,,Fuat & Marta,1.600.000,54.800,1.231,7.036,8.185,
TRUE,https://www.tiktok.com/@fuat_marta/video/7256439261560392987,,Fuat & Marta,1.600.000,46.600,891,6.432,8.292,
TRUE,https://www.tiktok.com/@greator/video/7119532196611755270,,Greator,1.500.000,60.900,592,4,7.329,
TRUE,https://youtube.com/shorts/n9qryXZIuV0,,Greator,1.464.489,28.603,755,,,
TRUE,https://youtube.com/shorts/xuGkwehx1fI,,Greator,1.455.333,38.707,187,,,
TRUE,https://www.instagram.com/greator/reel/Cik2PTivhZY/,,Greator,1.400.000,23.400,114,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7258294780784823578,,Fuat & Marta,1.400.000,44.900,188,922,8.281,
TRUE,https://www.youtube.com/shorts/Xansy0z5Whk,,Felix Thönnessen,1.400.000,33.000,917,,,
TRUE,https://www.tiktok.com/@greator/video/7211568920476667141,,Greator,1.300.000,69.700,417,11,27.300,
TRUE,https://www.facebook.com/reel/1213005876339969,,Meet Your Master,1.300.000,8.900,272,770,,
TRUE,https://www.facebook.com/reel/310903134751253,,Meet Your Master,1.300.000,9.300,140,773,,
TRUE,https://youtube.com/shorts/HbjFkB3Tv9s,,Greator,1.293.294,24.540,211,,,
TRUE,https://www.facebook.com/reel/1210281673719975,,Johannes Hartl,1.200.000,6.350,586,4.000,,
TRUE,https://www.instagram.com/greator/reel/Ch13ISAsz8j/,,Greator,1.200.000,50.500,264,,,
TRUE,https://www.instagram.com/greator/reel/CgHvJ3gvQxz/,,Greator,1.200.000,10.900,132,,,
TRUE,https://www.tiktok.com/@greator/video/6800753806792461573,,Greator,1.200.000,169.500,1,11,24.500,
TRUE,https://www.facebook.com/reel/367437076259160,,Meet Your Master,1.200.000,7.626,103,534,,
TRUE,https://www.instagram.com/greator/reel/C-H3YPWKnPa/,,Greator,1.100.000,31.200,383,,,
TRUE,https://www.instagram.com/greator/reel/C7JSSDdLCHK/,,Greator,1.100.000,22.700,408,,,
TRUE,https://www.facebook.com/reel/1574076046709227,,Meet Your Master,1.100.000,3.770,87,56,,
TRUE,https://www.instagram.com/gereonjoern/reel/C7MgaJ3SU12/,,Gereon Jörn,1.100.000,12.200,378,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7268314110452845856,,Fuat & Marta,1.100.000,38.500,233,1.931,8.940,
TRUE,https://youtube.com/shorts/WrdNy9kuh8I,,Greator,1.073.906,27.977,215,,,
TRUE,https://youtube.com/shorts/RGUewU8HPGM,,Greator,1.055.759,32.085,423,,,
TRUE,https://youtube.com/shorts/M0JWarDKOu0,,Greator,1.051.050,38.408,315,,,
