URL,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM,HEADLINE
https://www.tiktok.com/@mrtiefschlaf/video/7265345413144644897,Chris Surel,3.700.000,264.700,1.932,,89.700,,Schlafe NIEMALS 8 Stunden!
https://www.tiktok.com/@mrtiefschlaf/video/7303211486984424736,Chris Surel,3.200.000,141.000,190,,28.300,,Schnellschläfer? Fluch oder Segen?
https://www.instagram.com/greator/reel/DB89FgoBUx_/,Greator,2.200.000,19.252,1.155,,,,Bist du trotz Schlaf IMMER müde?
https://www.instagram.com/meetyourmaster.de/reel/C639f5QOj26/,Meet Your Master,1.600.000,47.100,146,,,,Warum ist Usain Bolt SO schnell?
https://www.tiktok.com/@fuat_marta/video/7263861096866385185,Fuat & Marta,1.600.000,54.800,1.231,7.036,8.185,,Bist du der nächste Verlierer?
https://youtube.com/shorts/n9qryXZIuV0,Greator,1.464.489,28.603,755,,,,Mann schlägt Arzt krankenhausreif
https://www.tiktok.com/@fuat_marta/video/7258294780784823578,Fuat & Marta,1.400.000,44.900,188,922,8.281,,SO überzeugst du jeden!
https://www.youtube.com/shorts/Xansy0z5Whk,Felix Thönnessen,1.400.000,33.000,917,,,,Trick um NIE WIEDER müde aufzuwachen!
https://www.facebook.com/reel/1213005876339969,Meet Your Master,1.300.000,8.900,272,770,,,Ärzte hassen diesen Trick!
https://www.facebook.com/reel/310903134751253,Meet Your Master,1.300.000,9.300,140,773,,,Diese Übung verändert alles (und du kennst sie nicht..)
https://www.facebook.com/reel/1210281673719975,Johannes Hartl,1.200.000,6.350,586,4.000,,,Handy: Das Kokain für Kinder
https://www.instagram.com/greator/reel/C-H3YPWKnPa/,Greator,1.100.000,31.200,383,,,,Beziehung beginnt erst nach 2 Jahren?
https://www.facebook.com/reel/1574076046709227,Meet Your Master,1.100.000,3.770,87,56,,,Längste Yacht der Welt?
https://www.instagram.com/gereonjoern/reel/C7MgaJ3SU12/,Gereon Jörn,1.100.000,12.200,378,,,,Salat hat so viel Vitamine wie..
https://www.tiktok.com/@fuat_marta/video/7268314110452845856,Fuat & Marta,1.100.000,38.500,233,1.931,8.940,,"Fehler, die deine Firma ZERSTÖRT!"
https://youtube.com/shorts/WrdNy9kuh8I,Greator,1.073.906,27.977,215,,,,Dann wäre er heute Präsident..
https://www.facebook.com/reel/24414431578203746,Greator,1.000.000,7.232,220,278,,,Beerdigung statt Hochzeit
